numero_cuartos;numero_baños;area_de_ construcción_pie2;area_del lote_pie2;numero_pisos;condición;grado;superficie_sótano_pie2;año_de_construcción;precio
3;1;1180;5650;1;3;7;0;1955;221900
2;1;770;10000;1;3;6;0;1933;180000
4;3;1960;5000;1;5;7;910;1965;604000
3;2;1680;8080;1;3;8;0;1987;510000
3;1;1780;7470;1;3;7;730;1960;229500
4;3;2950;5000;2;3;9;970;1979;650000
3;2;1890;14040;2;3;7;0;1994;395000
2;1;1200;9850;1;4;7;0;1921;189000
3;1;1250;9774;1;4;7;0;1969;230000
4;1;1660;34848;1;1;5;730;1933;550000
4;2;2360;6000;2;4;8;0;1904;640000
4;1;1220;8075;1;2;7;330;1969;240000
3;1;1570;2280;2;3;7;0;1922;685000
3;1;1280;9656;1;4;6;360;1959;309000
3;1;990;8528;1;3;6;0;1966;210490
3;1;1190;9199;1;3;7;0;1955;228000
4;3;1850;9976;2;3;8;0;1991;430000
3;1;1000;12070;1;4;7;0;1968;204000
3;2;1260;5612;1;4;7;0;1972;325000
4;4;3430;35102;2;4;10;1040;1986;832500
3;1;1040;5060;1;3;7;0;1941;480000
3;1;1410;5060;1;4;7;500;1956;410000
2;1;2020;6720;1;3;7;1010;1948;355000
3;1;960;6634;1;3;6;0;1952;315000
3;1;1210;33919;1;3;7;0;1954;290000
2;1;880;6780;1;4;6;0;1945;205425
4;2;1570;9600;1;3;6;0;1950;171800
3;2;1450;9132;1;3;7;0;1987;391500
2;1;770;6000;1;3;6;0;1953;395000
2;1;1190;4440;1;3;6;0;1981;382500
2;1;1110;3200;1;3;7;0;1925;665000
3;1;1610;8579;1;4;7;600;1962;205000
3;1;1060;8097;1;4;7;120;1923;420000
4;1;2550;4000;2;3;8;180;1905;890000
5;2;2260;12500;1;4;8;1130;1960;258000
3;1;1430;3455;1;3;7;450;1947;511000
3;2;1360;3090;2;3;8;0;1990;532170
3;1;1250;8200;1;4;7;0;1954;282950
1;1;700;5100;1;3;7;0;1942;350000
3;1;1180;7669;1;4;7;0;1967;215000
3;2;2020;38332;1;4;7;1010;1975;420000
3;2;1370;8336;1;5;7;0;1964;371500
3;1;1220;4800;1;3;6;0;1901;385000
2;1;1350;8220;1;3;7;290;1949;330000
4;3;2440;9600;2;5;7;0;1961;589000
3;1;1190;8820;1;3;6;0;1959;166950
3;1;1060;10228;1;3;7;0;1948;230000
3;1;860;11725;1;4;6;0;1943;210000
3;1;1010;5000;1;3;7;0;1952;470000
3;1;910;8450;1;4;6;0;1962;274250
3;1;1010;5864;1;3;7;0;1915;425000
6;3;2300;3404;2;3;7;700;1920;464000
2;1;850;16400;1;3;6;0;1923;280000
3;2;1750;9750;1;3;7;400;1961;279950
2;2;1510;6516;1;3;8;0;2005;479950
3;1;1430;15246;1;4;7;450;1961;235000
2;1;1000;10200;1;3;6;0;1961;213000
3;2;2220;94300;1;5;7;580;1976;416000
2;1;830;6000;1;3;6;0;1940;210000
3;1;1300;8316;1;4;6;0;1954;225000
2;1;1030;3060;1;4;7;240;1918;480000
4;2;2010;7312;1;4;7;0;1976;250000
3;2;1810;7209;1;4;7;570;1978;260000
3;1;1400;3538;1;3;7;600;1953;349500
3;1;1230;10170;1;3;7;0;1979;255000
2;1;770;5040;1;3;5;0;1930;425000
3;1;1120;10701;1;3;7;0;1954;285000
2;1;1070;4500;1;3;7;0;1937;415000
2;1;1040;7538;1;4;7;0;1939;436000
3;1;1700;11390;1;4;7;0;1967;210000
3;1;1300;5898;1;3;7;0;1961;236000
3;2;2290;16258;1;5;8;0;1960;450000
2;1;860;5265;1;3;6;0;1931;170000
3;3;2420;13959;1;4;8;680;1988;330000
2;1;1640;14100;1;4;7;500;1954;500000
4;3;3280;11060;2;3;8;1010;1986;580000
3;2;1970;4166;2;5;8;700;1929;550000
3;2;1320;8959;1;3;7;0;1993;265000
3;2;2590;14052;1;5;8;870;1948;487000
2;1;1470;3864;1;4;7;300;1916;548000
4;1;800;8775;1;3;6;0;1943;268750
3;2;1450;11204;1;3;7;0;2003;230000
2;1;1240;12092;1;3;6;280;1922;232000
2;1;1240;12092;1;3;6;280;1922;240500
3;1;1000;7636;1;2;7;0;1952;186375
3;2;1810;10530;1;3;8;0;1991;295000
2;1;1070;5000;1;3;7;0;1924;640000
4;2;2490;9525;2;5;9;0;1968;940000
4;1;1000;7134;1;3;6;0;1943;165000
4;1;1000;7134;1;3;6;0;1943;239900
2;1;1070;32633;1;4;6;0;1930;320000
3;2;1390;13464;1;4;7;0;1987;206600
3;1;1900;14400;1;4;7;600;1954;315000
2;1;990;3120;1;5;7;200;1907;437500
3;1;1330;77972;1;3;7;0;1928;900000
3;2;1840;40438;2;3;7;0;1994;465000
4;3;2090;7500;1;3;7;720;1986;338000
5;3;3450;9914;2;3;9;0;2004;380000
3;3;1590;7750;1;3;7;530;1997;275000
4;2;2020;2849;2;3;7;0;1960;595000
3;3;4040;14338;2;3;10;1010;1986;950000
3;2;1410;9600;1;4;7;0;1983;365500
3;2;1650;7352;1;3;7;490;1979;252350
2;1;1220;10000;1;5;7;0;1950;330000
4;2;1940;25600;1;1;8;0;1962;365000
2;1;940;5000;1;4;7;0;1937;352000
3;2;1290;1213;3;3;8;0;2001;450000
3;2;1570;5250;1;3;7;0;1998;278500
2;1;833;143947;1;3;5;0;2006;517534
2;1;950;3960;1;3;7;0;1941;482000
2;1;940;5120;1;3;7;0;1909;375000
4;2;1440;7680;1;3;7;240;1971;397000
4;3;2290;8250;2;3;9;0;1990;328500
4;3;4040;19700;2;3;11;0;1987;988000
2;2;1270;1372;3;3;8;0;2000;438000
2;1;1420;5332;1;3;8;350;1953;641000
3;1;940;7980;1;4;7;0;1960;205000
3;2;1260;5460;1;3;7;0;1972;505000
3;1;1400;10403;1;4;6;0;1976;232000
3;3;1970;20978;2;4;9;200;1980;705000
3;2;1510;3413;2;3;7;0;1985;230000
3;1;980;7000;1;3;6;0;1953;330000
3;2;2270;28025;1;4;7;350;1947;340500
2;2;1610;17600;2;3;6;0;1930;290900
2;1;630;6550;1;3;5;0;1918;315000
3;3;2990;9773;2;4;8;0;1973;849950
2;2;890;5000;1;3;6;0;1917;207950
3;2;1680;5036;1;4;7;0;1987;370000
3;2;1510;6710;1;3;7;440;1972;397500
4;2;2110;4140;2;3;9;400;1925;725000
2;1;1490;3825;1;3;7;630;1929;475000
3;2;1930;11947;1;4;8;0;1966;342000
3;1;1190;5100;1;4;7;160;1941;442000
2;1;1540;6872;1;4;7;720;1946;615000
2;1;1100;7680;1;4;7;0;1950;300000
3;1;1190;7560;1;5;6;0;1958;288000
2;1;630;6000;1;3;6;0;1943;190000
5;3;2530;5105;1;3;8;1010;2005;515000
2;1;940;5000;1;3;6;0;1951;275000
2;2;1240;9119;1;4;7;0;1952;727500
3;1;1040;7405;1;4;6;0;1971;204000
2;2;1510;4000;1;4;7;500;1900;595000
3;2;1360;6082;1;3;7;0;1994;249000
2;2;1070;649;2;3;9;350;2008;259950
2;1;1320;8865;1;4;6;0;1943;215000
2;1;750;8125;1;4;6;0;1943;261000
4;3;2230;108900;1;3;7;820;1978;460000
4;4;3200;7708;2;3;10;0;2004;720000
2;1;1220;75794;1;4;7;0;1963;300000
3;1;1384;8960;1;4;6;0;1965;180000
4;3;3590;8249;2;3;9;0;1997;515000
4;2;2420;31465;1;3;9;0;1984;399950
2;3;1270;1175;2;3;8;160;2000;531000
2;1;940;6804;1;3;7;0;1949;443500
3;2;1670;6824;1;3;7;370;1990;223000
3;2;1870;3388;1;4;8;640;1925;650000
3;1;1250;9775;1;3;7;0;1971;175000
3;2;1440;7210;1;3;8;0;1983;210000
3;1;990;6750;1;4;6;0;1947;325000
3;1;960;6400;1;4;6;140;1944;289500
3;1;960;9633;1;5;6;0;1982;218000
2;1;890;3060;1;3;7;120;1910;542000
3;1;1200;8316;1;4;6;0;1953;214000
3;2;2050;13303;1;3;8;0;1993;314500
2;2;1300;3850;1;3;7;500;1963;378000
1;1;870;26326;1;3;6;0;1939;157000
3;1;1000;6020;1;3;6;0;1944;220000
3;1;1920;6862;1;3;7;800;1952;325000
3;1;990;6000;1;3;6;0;1943;495000
3;1;1290;12231;1;3;7;0;1976;323000
2;1;1010;3000;1;4;7;0;1925;280000
3;1;2090;4755;1;3;8;890;1969;478500
3;2;1440;7187;1;4;7;470;1981;222000
4;3;2580;209523;2;3;8;0;1984;799000
3;1;1220;8329;1;3;6;0;1946;387500
3;1;1500;12616;1;3;7;0;1967;396000
2;1;800;4342;1;3;6;130;1927;410000
3;2;1410;5760;1;3;7;0;1985;245000
2;1;820;5100;1;3;6;0;1953;195000
4;2;2180;10575;1;2;6;450;1950;480000
4;2;1400;3600;1;3;7;300;1900;485000
2;1;880;9000;1;3;5;0;1928;130000
2;1;1060;5703;1;4;6;0;1946;325000
4;1;1130;7400;1;4;7;0;1969;215000
3;2;1300;9644;1;3;7;0;1994;267000
2;1;960;4080;1;5;7;0;1911;565000
5;3;2520;5500;1;3;8;970;2004;350000
2;1;1050;5900;1;3;7;0;1950;245000
3;2;2380;17950;2;4;8;270;1934;550000
3;1;1910;8167;1;4;8;640;1951;588000
3;2;1400;9177;1;3;7;0;1974;233000
3;2;2100;72745;1;4;9;0;1995;740000
3;1;1160;9750;1;3;7;0;1967;305000
3;1;1500;4000;1;3;6;600;1925;395000
3;1;1150;6908;1;3;6;350;1952;329999
3;1;1370;6001;1;5;7;140;1944;447000
3;2;1400;218252;1;3;7;0;1997;330000
3;1;1200;10800;1;4;7;0;1955;390000
4;2;1910;2874;1;3;7;850;1910;493000
3;1;1250;23680;1;5;7;0;1967;305000
4;1;2000;4800;2;4;7;0;1911;715000
2;1;1280;5400;1;3;7;0;1964;500000
4;2;2090;40419;1;4;7;0;1984;460000
2;1;750;34133;1;3;6;0;1950;210000
4;1;1760;7216;1;3;7;670;1947;429950
4;2;1740;9000;1;5;8;0;1958;710000
3;2;1950;8698;1;3;8;0;1999;361000
3;1;1250;7210;1;4;7;0;1964;345000
2;2;1130;5500;1;4;6;0;1941;250000
3;2;1430;8919;1;3;7;0;1992;246500
3;1;1810;7200;1;4;7;680;1954;287500
3;1;1810;7200;1;4;7;680;1954;431000
3;1;970;5000;1;3;6;0;1968;226000
3;1;1340;5175;1;3;7;400;1987;320000
3;2;2070;9000;1;4;7;620;1969;254000
3;1;1050;16050;1;4;7;0;1960;287653
3;1;910;5212;1;3;7;0;1951;565000
2;1;1320;3090;1;4;7;0;1908;381156
3;2;2920;13650;1;5;8;1460;1975;795000
3;1;1530;8498;1;3;7;0;1959;147500
3;2;1910;11576;1;3;7;500;1978;390000
3;1;1020;8100;1;3;7;0;1954;229000
3;1;1150;8100;1;3;6;0;1932;185000
4;2;1920;4822;1;2;6;1000;1914;200000
2;1;1090;6771;1;3;6;0;1954;340000
3;2;1230;1340;2;3;7;210;2003;209000
3;2;1480;6698;1;4;7;400;1979;300000
3;1;1400;4800;1;4;6;700;1917;435000
3;2;1410;8384;1;3;7;0;1985;205000
2;1;1000;10320;1;3;6;0;1943;270000
3;2;1440;9220;1;3;7;0;1965;250000
4;3;2570;262018;1;3;7;1150;1988;390000
3;1;1250;18616;1;4;6;0;1972;288349
2;1;1060;7200;1;4;6;0;1951;299995
2;1;970;5665;1;4;6;0;1908;315000
3;1;2430;10720;1;3;7;0;1977;369950
3;1;1490;10650;1;3;7;340;1963;460500
4;3;2670;5000;2;3;7;0;1916;550000
3;1;1350;8581;1;5;6;0;1944;345500
4;2;2208;5000;3;5;8;0;1917;650000
3;2;1010;7380;1;3;7;0;1982;385000
2;1;970;2970;1;3;7;0;1910;425000
3;1;1320;9000;1;3;7;0;1966;196500
3;1;1070;9000;1;4;7;0;1950;265000
3;1;1280;8712;1;4;7;0;1956;216000
3;1;1030;8400;1;4;7;0;1963;427200
5;3;3070;9804;1;4;9;1330;1968;718000
2;1;930;5400;1;3;7;0;1952;379000
2;1;880;7683;1;3;6;0;1942;326100
4;2;2780;11583;1;3;8;1590;1955;645000
3;2;1490;7651;1;3;7;0;1988;253000
2;1;740;6460;1;3;6;0;1953;178500
2;1;850;2340;1;3;7;0;1922;553500
2;1;1030;4188;1;3;8;0;1981;189950
3;2;1850;9550;1;3;8;0;1988;289000
